id,title,label,,,,,,,
398,"Global, regional, and national burden of stroke and its risk factors, 1990–2019: a systematic analysis for the Global Burden of Disease Study 2019",Health Sciences / Public Health / Youth Cancer Burden,,,,,,,
399,"Global, regional, and national burden of stroke and its risk factors, 1990–2019: a systematic analysis for the Global Burden of Disease Study 2019",Health Sciences / Public Health / Youth Cancer Burden,,,,,,,
400,"Global, regional, and national sex-specific burden and control of the HIV epidemic, 1990–2019, for 204 countries and territories: the Global Burden of Diseases Study 2019",Health Sciences / Public Health / HIV Burden Analysis,,,,,,,
401,"Measuring routine childhood vaccination coverage in 204 countries and territories, 1980–2019: a systematic analysis for the Global Burden of Disease Study 2020, Release 1",Health Sciences / Public Health / Childhood Vaccination Coverage,,,,,,,
402,Improved hybrid block-based motion estimation for inter-frame coding,Computer Science / Computer Vision / Motion Estimation in Video Coding,,,,,,,
403,Dynamic scene change detection in video coding,Computer Science / Computer Vision / Scene Change Detection,,,,,,,
404,Improved image compression scheme using hybrid encoding algorithm,Computer Science / Computer Vision / Image Compression Techniques,,,,,,,
405,Fast and Illumination Invariant Face Tracker Algorithm for Complex Video Environments,Computer Science / Computer Vision / Face Tracking in Variable Lighting,,,,,,,
406,Efficient Face Tracking and Detection in Video: Based on Template Matching,Computer Science / Computer Vision / Template-Based Face Detection,,,,,,,
407,"توزيع تعدد أشكال النوكليوتيدات المفردة Her2 في مواقع جغرافية مختلفة في محافظة السليمانية، العراق",Life Sciences / Genetics / Her2 SNP Distribution,,,,,,,
408,Correlation between ABO blood group and coronavirus disease in 2019 (COVID-19) vulnerability,Health Sciences / Epidemiology / Blood Type and COVID-19 Vulnerability,,,,,,,
409,"Beyond economic growth: neo-liberalism, alternative theories, and the future of economic development", Social Sciences / Economics / Development Theory,,,,,,,
410,"The Role of Agriculture Sector in Eradicating Poverty: Challenges, Policies, and Pathways for Economic Growth in Less Developed Countries",Agriculture & Forestry / Agricultural Economics / Agriculture and Poverty Eradication,,,,,,,
411,Conceptualization of the Capital Maintenance,Economics & Finance / Financial Markets / Capital Maintenance Theory,,,,,,,
412,THE IMPACT OF FINANCIAL RATIOS ON FINANCIAL PERFORMANCE OF PUBLIC COMPANIES LISTED ON THE ISTANBUL STOCK EXCHANGE,Economics & Finance / Investment Management / Financial Ratio Analysis,,,,,,,
413,Legal regulation of electronic media in the Kurdistan region/Iraq,Law / Media Policy / Electronic Media Legislation,,,,,,,
414,Correlation Between the Estimated and the Measured Serum Apolipoprotein–B100 in Kurd Subjects: A Trend to Establish a New Formula,Health Sciences / Medicine / Serum Biomarker Estimation,,,,,,,
415,Assessing serum C-reactive protein as a predictor of COVID-19 outcomes: a retrospective cross sectional study,Health Sciences / Epidemiology / CRP and COVID-19 Prognosis,,,,,,,
416,Improved Homomorphic Filtering for Thin Cloud Removal,Computer Science / Computer Vision / Cloud Removal in Imaging,,,,,,,
417,The effect of transverse vibration on the natural convection heat transfer in a rectangular enclosure,Engineering / Mechanical Engineering / Heat Transfer with Vibration,,,,,,,
418,Construction and Evaluation of a Uniaxial Mechanical Actuated Vibration Shaker,Engineering / Mechanical Engineering / Vibration Testing Device,,,,,,,
419,Combining iterative mockup prototyping with paired scales feedback,Engineering / Industrial Engineering / Design Prototyping Methodology,,,,,,,
420,Assessing Commonality and Differences in Terminology Across Design Disciplines,Engineering / Industrial Engineering / Design Terminology Evaluation,,,,,,,
421,A Computational Framework for Supporting Design Terminology,Engineering / Industrial Engineering / Computational Design Framework,,,,,,,
422,Future IoT Software in Healthcare Also Exploring IoT Industry Application,Computer Science / Internet of Things / IoT Applications in Healthcare,,,,,,,
423,Exploring loT lndustry Application,Computer Science / Internet of Things / Industrial IoT Applications,,,,,,,
424,Hybrid onboard smartphone sensors measurements to improve heading estimation for indoors positioning solutions,Computer Science / Human-Computer Interaction / Indoor Positioning via Sensors,,,,,,,
425,Fusing multi-sensor measurements to improve heading estimation using Kalman gain for indoors smartphone positioning solutions,Computer Science / Human-Computer Interaction / Kalman Filtering for Indoor Positioning,,,,,,,
426,Normalizing RSS values of Wi-Fi access points to improve an integrated indoors smartphone positioning solutions,Computer Science / Human-Computer Interaction / Wi-Fi Based Indoor Positioning,,,,,,,
427,2019 5th International Conference on Frontiers of Signal Processing (ICFSP 2019),Computer Science / Algorithms / Signal Processing Innovations,,,,,,,
428,Kurds Affair in Turkey between 2002–2016,Social Sciences / Political Science / Kurdish Political Issues in Turkey,,,,,,,
429,Material management comparison between lot for lot and field actual condition,Business & Management / Operations Management / Inventory Strategy Comparison,,,,,,,
430,Seismic vulnerability analysis of irregular and regular structures using fragility curve,Engineering / Civil Engineering / Structural Seismic Vulnerability,,,,,,,
431,Traffic Circulation Efficiency of Elliptical Roundabouts,Engineering / Civil Engineering / Traffic Flow Optimization,,,,,,,
432,Reinforced Column Link Improvement to Resist an Earthquake,Engineering / Civil Engineering / Earthquake Resistant Design,,,,,,,
433,Pushover Analysis of 10-Floors Reinforced Concrete Building (Case study: Mahkota Majolelo Sati Bautique Hotel),Engineering / Civil Engineering / Structural Analysis Using Pushover Method,,,,,,,
434,Pushover analysis of 10-floors reinforced concrete building (Case study: Mahkota Majolelo Sati Bautique Hotel),Engineering / Civil Engineering / Pushover Analysis of High-Rise Structures,,,,,,,
435,"The role of grain in the promotion of food security in the Erbil, Sulaimany and Duhok citys",Agriculture & Forestry / Crop Science / Grain and Urban Food Security,,,,,,,
436,EFFECT OF CHANGE IN THE NECK POSITION ON DOSIMETRIC PARAMETERS OF THE OESOPHAGUS IN BREAST CANCER PATIENTS UNDERGOING SUPRACLAVICULAR IRRADIATION,Health Sciences / Medicine / Radiation Dosimetry in Breast Cancer,,,,,,,
437,Radioprotective effect of Nigella sativa Oil (NSO) against radiation-induced hepatic toxicity and haematological alteration in irradiated albino mice,Life Sciences / Pharmacology / Radioprotective Herbal Medicine,,,,,,,
438,Comparison of esophagus dose in breast cancer patients undergoing supraclavicular irradiation with and without esophagus countering,Health Sciences / Medicine / Radiotherapy Dosage Assessment,,,,,,,
439,Prediction factors of radiation esophagitis in breast cancer patients undergoing supraclavicular radiotherapy,Health Sciences / Medicine / Risk Factors for Radiation Esophagitis,,,,,,,
440,Low Dose Radiotherapy (LDRT) Can Be an Option For Curing COVID-19?,Health Sciences / Medicine / LDRT for COVID-19 Treatment,,,,,,,
441,Influence of Radiation on Female Fertility and Pregnancy.,Health Sciences / Medicine / Radiation Effects on Fertility,,,,,,,
442,An Evaluation of Effects of Black Grape and Ginger Extracts on Hematological Alteration and Lipid Peroxidation of Hepatocyte in Irradiated Albino Mice.,Life Sciences / Pharmacology / Radioprotective Herbal Effects,,,,,,,
443,"التوجه الريادي واثره في تحقيق التنمية المستدامة، دراسة تحليلية لأراء عينه من الكوادر الاكاديمية في كليات الادارة والاقتصاد في مدينة السليمانيه-اقليم كوردستان",Business & Management / Strategic Management / Entrepreneurial Orientation and Sustainability,,,,,,,
444,Ethical leadership and its role in enhancing organizational commitment An analytical study of the opinions of a sample of workers in a number of private universities in the …,Business & Management / Organizational Behavior / Ethical Leadership and Commitment,,,,,,,
445,Strategic alignment and its role in crisis management An analytical study of the opinions of a sample of academic and administrative leaders in technical colleges in …,Business & Management / Strategic Management / Strategic Alignment and Crisis Management,,,,,,,
446,The unusual location of primary hydatid cyst: A case series study,Health Sciences / Medicine / Atypical Hydatid Cyst Cases,,,,,,,
447,"Nutritional and General Awareness of Vitamin D Status among Adult Population in Sulaymaniyah Governorate, Kurdistan Region, Iraq: A Cross-Sectional Study",Health Sciences / Nutrition / Vitamin D Awareness Study,,,,,,,
448,Tie versus clipping typed of cystic duct and artery ligation in laparoscopic cholecystectomy,Health Sciences / Medicine / Surgical Techniques in Laparoscopic Cholecystectomy,,,,,,,
449,Histopathology analysis of thyroid cancer tumor size in Sulaymaniyah-Kurdistan Region-Iraq,Health Sciences / Medicine / Thyroid Cancer Tumor Analysis,,,,,,,
450,"Anemia & sociodemography in Gall stone patients in Sulaymaniyah, Kurdistan R. Iraq.",Health Sciences / Medicine / Anemia in Gallstone Patients,,,,,,,
451,Assessment of the clinical concern about the non-malignant thyroid disorders in Sulaimaniyah city-Kurdistan Region-Iraq.,Health Sciences / Medicine / Non-Malignant Thyroid Disorders,,,,,,,
452,Comparison of primary midline closure and open surgery for sacrococcygeal pilonidal sinus: a retrospective study,Health Sciences / Medicine / Surgical Methods for Pilonidal Sinus,,,,,,,
453,Effect of Ramadan Fasting Upon Perforated Peptic Ulcer Patients: A Descriptive Analysis.,Health Sciences / Medicine / Ramadan and Peptic Ulcer Outcomes,,,,,,,
454,Governance of public-private partnerships: a case study of the Kurdistan Region of Iraq's electricity sector,Social Sciences / Political Science / Public-Private Partnership Governance,,,,,,,
455,Alternative formats,///,,,,,,,
456,“Recent Trends in Economic Development of MENA Region”,Economics & Finance / Economics / Economic Development in MENA,,,,,,,
457,External Auditor’s Responsibility Regardying To Going Concern Assumption In His/Hers Report: Case Of Kurdistan Region/Iraq,Economics & Finance / Accounting / Auditor Responsibility and Going Concern,,,,,,,
458,The Importance of Consultancy Project and How Can It Will Be Adopted in Kurdistan Universities as an Alternative to Replace the Summer Training (2016),Education / Higher Education / Consultancy Projects in Curriculum,,,,,,,
459,The Correlation between Vitamin D Status and Glycosylated Hemoglobin Levels,Health Sciences / Nutrition / Vitamin D and Glycemic Control,,,,,,,
460,Rethinking Economic Growth: Integrating Environmental Constraints into Growth Theories,Economics & Finance / Economics / Environmental Constraints in Economic Growth,,,,,,,
461,Rethinking Economic Growth: Integrating,Economics & Finance / Economics / Rethinking Economic Growth Models,,,,,,,
462,Rethinking Economic Growth: Integrating Environmental Constraints into Growth Theories,Economics & Finance / Economics / Sustainable Economic Growth Theories,,,,,,,
463,Residential Crisis in Iraq: The Current Trends and Future Prospectus: A Review,Social Sciences / Geography / Urban Housing Crisis in Iraq,,,,,,,
464,The Relationship of International Loans to Credit Wall (Worthiness): A Review,Economics & Finance / Economics / Creditworthiness and International Loans,,,,,,,
465,Attracting Foreign Direct Investment Is Central to Successful Economic Development and Balance with Environmental Protection,Economics & Finance / Investment Management / Foreign Direct Investment and Sustainability,,,,,,,
466,Measuring the impact of the general budget on the trade balance in Iraq for the period (2004-2022).,Economics & Finance / Economics / Budget Impact on Trade Balance,,,,,,,
467,قياس وتحليل اثر السياسة النقدية في مواجهة مشكلة التضخم في العراق خلال المدة (1990-2022),Economics & Finance / Economics / Monetary Policy and Inflation in Iraq,,,,,,,
468,Efficiency evaluation of the economic performance of Bazian cement factory between 2008-2020,Business & Management / Operations Management / Industrial Performance Evaluation,,,,,,,
469,"SCIENCE, RESEARCH AND DEVELOPMENT",///,,,,,,,
470,Efficiency of Pareto Optimality for Consumption and Production,Economics & Finance / Economics / Pareto Efficiency in Resource Allocation,,,,,,,
471,Effect of Heat Treatments and Carbon Content on the Damping Properties of Structural Steel,Engineering / Materials Engineering / Heat Treatment and Steel Properties,,,,,,,
472,An ecological study on the occurrence and distribution of aquatic fungi in sarchnar water spring within Sulaimani Province/Kurdistan Region of Iraq,Life Sciences / Microbiology / Aquatic Fungi Distribution,,,,,,,
473,Diuretic Effect of Prosopis farcta in Comparison with Spironolactone and Hydrochlorothiazide in Hypertensive Rats,Life Sciences / Pharmacology / Herbal vs Pharmaceutical Diuretics,,,,,,,
474,Analyze the impact of Working Capital Management and Net Profit Margin on Accounting Profitability assessment (a study of manufacturing companies listed on the Iraqi Stock …,Economics & Finance / Economics / Working Capital and Profitability,,,,,,,
475,"The Impact of the Cash Flow, Solvability, and Working Capital on Accounting Profitability with Capital Structure as a Mediation: Qatar Stock Exchange Case Study Period 2018–2022",Economics & Finance / Economics / Profitability and Financial Metrics,,,,,,,
476,The Impact of Operating Cash Flow on Corporate Profitability: Amman Stock Exchange case study,Economics & Finance / Economics / Operating Cash Flow and Profitability,,,,,,,
477,The Impact of the Current Ratio and Profitability Ratio on Solvency Ratios: An Applied Study in the Tehran Stock Exchange,Economics & Finance / Economics / Liquidity and Solvency Metrics,,,,,,,
478,War media strategy and organizing the functions of the media center of the Ministry of Peshmerga in case of war,Communications & Media / Media Policy / Wartime Media Strategy,,,,,,,
479,Disinformation and the Strategy of Combating it in the Kurdistan Region-Iraq,Communications & Media / Public Relations / Disinformation Counterstrategy,,,,,,,
480,РОЛЬ СЛУЖБЫ ПО СВЯЗЯМ С ОБЩЕСТВЕННОСТЬЮ В ФОРМИРОВАНИИ СТРАТЕГИИ МЕДИАКОНТЕНТА КУРДСКОЙ МЕДИАКОРПОРАЦИИ «РУДАУ»,Communications & Media / Public Relations / Media Content Strategy in Public Relations,,,,,,,
481,Стратегическое значение анализа медийного контента,Communications & Media / Media Studies / Strategic Analysis of Media Content,,,,,,,
482,СТРАТЕГИЯ СВЯЗЕЙ С ОБЩЕСТВЕННОСТЬЮ В МЕДИЙНЫХ КОРПОРАЦИЯХ,Communications & Media / Public Relations / PR Strategy in Media Corporations,,,,,,,
483,НАЧАЛО КУРДСКОЙ ПРЕССЫ: ГАЗЕТА «КУРДИСТАН»,Communications & Media / Journalism / History of Kurdish Press,,,,,,,
484,"ЖУРНАЛ"" ГАЛАУЕЖ"": НОВЫЙ ЭТАП В КУРДСКОЙ ПРЕССЕ",Communications & Media / Journalism / Kurdish Journal History,,,,,,,
485,"Evaluation of Cretaceous-Tertiary Limestones and Clay for Portland Cement in Erbil, Kurdistan Region of Iraq",Physical Sciences / Geology / Cement Raw Material Evaluation,,,,,,,
486,"Assessment of Acute Respiratory Infection and Common Medication Use in Children below Five Years in Sulaimani, Kurdistan, Iraq",Health Sciences / Public Health / Acute Respiratory Infections in Children,,,,,,,
487,"ASSESSMENT OF KNOWLEDGE REGARDING GESTATIONAL DIABETES MELLITUS AMONG PREGNANT WOMEN IN MATERNITY TEACHING HOSPITAL, SULAIMANI CITY",Health Sciences / Public Health / Gestational Diabetes Awareness,,,,,,,
488,The Assessment of Clay Briquettes from East of Erbil City Northern Iraq for Utilization in Various Building Applications,Engineering / Civil Engineering / Clay Briquettes for Construction,,,,,,,
489,"Use of nutritional supplements among gym clubs participants in Sulaymaniyah City, Kurdistan Region of Iraq",Health Sciences / Nutrition / Supplement Use Among Gym Participants,,,,,,,
490,"Integrated management of root-knot nematode (Meloidogyne spp.) in cucumber (Cucumis sativus L.) and its effect on nematode population density, plant growth and yield in …",Agriculture & Forestry / Crop Science / Nematode Management in Cucumbers,,,,,,,
491,"The Impact of Health Educational on Maternal and Neonatal Outcomes Among Pregnant Women with Gestational Diabetes Attending Maternity Teaching Hospital, Sulaimaniyah, Iraq",Health Sciences / Public Health / Maternal and Neonatal Health Education,,,,,,,
492,Strategic Awareness and its role in reducing Organization Deviation Practices An analytical study of the opinions of a sample of administrative leaders in the Municipalities of …,Business & Management / Strategic Management / Strategic Awareness in Organizational Behavior,,,,,,,
493,Experimental investigation of the surface roughness for aluminum alloy AA6061 in milling operation by taguchi method with the anova technique,Engineering / Manufacturing Engineering / Surface Roughness in Milling Processes,,,,,,,
494,Study of Heated Tool for Integrally Stiffed Carbon Fiber Reinforced Polymer Panels,Engineering / Manufacturing Engineering / Heated Tool for CFRP Panels,,,,,,,
495,Numerical Analysis and Optimizing Temperature Uniformity of Integrally Heated Tool for Manufacturing Integrally-Stiffened CFRP Composite Panel,Engineering / Manufacturing Engineering / Manufacturing Integrally-Stiffened CFRP Composite Panel,,,,,,,
496,Contribution in development of design and performance of Turbine jet engine,Engineering / Aerospace Engineering / Turbine Jet Engine Design,,,,,,,
497,دور الاستثمار في الموارد البشرية في دعم سمعة المنظمة,Business & Management / Human Resource Management / Human Capital Investment and Organizational Reputation,,,,,,,
498,Utilizing cash flow statement in in building a loan portfolioAn analytical study of a sample of Iraqi banks registered in the Iraq Stock Exchange between (2010-2019),Economics & Finance / Banking / Loan Portfolio and Cash Flow Analysis,,,,,,,
499,استخدام قائمة التدفقات النقدية في تحليل المخاطر: دراسة تحليلية لعينة من المصارف العراقية المسجلة في سوق العراق للأوراق المالية خلال فترة (2010-2019),Economics & Finance / Banking / Risk Analysis Using Cash Flow Statements,,,,,,,
500,دور معرفة الزبون على فاعلية ابعاد الاداء التسويقي في حالة الازمات,Business & Management / Marketing / Customer Knowledge and Crisis Marketing Performance,,,,,,,
501,أثر جودة نظام المعلومات المحاسبية على اتخاذ القرارات الإدارية في القطاع المصرفي في إقليم كوردستان/العراق,Economics & Finance / Accounting / Information Systems and Managerial Decision-Making,,,,,,,
502,"The Impact of the Cash Flow, Solvability, and Working Capital on Accounting Profitability with Capital Structure as a Mediation: Qatar Stock Exchange Case Study Period 2018–2022",Economics & Finance / Economics / Profitability and Financial Metrics,,,,,,,
503,The Impact of Operating Cash Flow on Corporate Profitability: Amman Stock Exchange case study,Economics & Finance / Economics / Operating Cash Flow and Profitability,,,,,,,
504,An Investigation into the Impact of Profitability on Annual Growth Rate among the Listed Manufacturing Companies on the Iraqi Stock Exchange,Economics & Finance / Financial Markets / Profitability and Annual Growth Rate,,,,,,,
505,The Impact of the Current Ratio and Profitability Ratio on Solvency Ratios: An Applied Study in the Tehran Stock Exchange,Economics & Finance / Financial Markets / Solvency and Liquidity Indicators,,,,,,,
506,Analysis Some Risk Factors on Brain Cancer Disease by Using Factor Analysis,Health Sciences / Epidemiology / Risk Factors of Brain Cancer via Statistical Analysis,,,,,,,
507,Characterization of natural zeolite and evaluation of its adsorption capacity,Physical Sciences / Chemistry / Zeolite Adsorption Capacity,,,,,,,
508,"The Role of Agriculture Sector in Eradicating Poverty: Challenges, Policies, and Pathways for Economic Growth in Less Developed Countries",Agriculture & Forestry / Agricultural Economics / Agriculture and Poverty Reduction,,,,,,,
509,"Effect of Testosterone Enanthate Hormones on Some Production, Physiological Traits and Their Residue in Meat of Local Rabbits in Sulaymaniyah, Iraq.",Life Sciences / Pharmacology / Testosterone Effects in Animal Physiology,,,,,,,
510,Contemporary Research Analysis,Education / STEM Education / Contemporary Trends in Research,,,,,,,
511,The role of process re-engineering as a management accounting method in developing financial performance: Case Study: University of Human Development,Business & Management / Accounting / Process Reengineering in University Finance,,,,,,,
512,Evaluating the Results of the Studies Treated Urban Sprawl on Agriculture Land at Iraq That Used Geographic Information Systems (GIS) Techniques,Environmental Studies / Environmental Policy / GIS-Based Urban Sprawl Analysis,,,,,,,
513,The Electronic administration and its Obstacles (An Applied Study on Halabja University),Education / Educational Technology / Barriers to E-Administration in Universities,,,,,,,
514,A Review Study on The Adoption of Cloud Computing for Higher Education in Kurdistan Region- Iraq,Computer Science / Cloud Computing / Cloud Adoption in Higher Education,,,,,,,
515,The role of academic governance in strengthening the university education system in the Kurdistan Region of Iraq,Education / Higher Education / Academic Governance and University Development,,,,,,,
516,دور الحوكمة الاكاديمية في تعزيز نظام التعليم الجامعي في اقليم كوردستان العراق,Education / Higher Education / Academic Governance in Kurdistan Universities,,,,,,,
517,A Study on Setting up a Database for Maternal Health Care Program in Darbandikhan-Kurdistan,Information & Library Science / Data Management / Maternal Healthcare Database Design,,,,,,,
518,Statistical Analysis of Traffic Accidents Locations Using Geographic Information System in Darbandikhan Town-Kurdistan Region of Iraq,Transportation / Traffic Management / GIS-Based Accident Analysis,,,,,,,
519,Evaluation of the Locations of Emergency Medical Service Based Black Spots on the Highway: a Case Study Darbandikhan Town,Health Sciences / Public Health / EMS Black Spot Evaluation,,,,,,,
520,Iraqi Kurd EFL Learners’ Uses of Conjunctive Adverbials in Essays,Arts & Humanities / Linguistics / Use of Conjunctive Adverbials in EFL Writing,,,,,,,
521,Pedagogical Effects of Social Media on Iraqi Kurd EFL learners,Education / Educational Psychology / Social Media Influence on Language Learning,,,,,,,
522,"Prevalence of Helicobacter Pylori Infection among Children in Pediatric Hospital at Sulaimani City, Kurdistan Region of Iraq",Health Sciences / Medicine / Helicobacter Pylori Prevalence in Children,,,,,,,
523,Copper-Catalyzed Simultaneous Dehydrogenation and Enantioselective Allylic Oxidation of Alkanes Using Chiral Heterogeneous Ligands to Produce Allylic Esters and Theoretical …,Physical Sciences / Chemistry / Copper-Catalyzed Allylic Oxidation,,,,,,,
